,ACQ_BOOKEDDATE,ACQ_BEDVALUE_Mean,Customers_count,LIFETIME_BEDVALUE_mean,ACQ_BEDVALUE/Domestic/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Domestic/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/7+ Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/7+ Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/7+ Nights/,CUSTOMER_ID/Domestic/DESKTOP/1-2 Nights/,CUSTOMER_ID/Domestic/DESKTOP/3-4 Nights/,CUSTOMER_ID/Domestic/DESKTOP/5-6 Nights/,CUSTOMER_ID/Domestic/DESKTOP/7+ Nights/,CUSTOMER_ID/Domestic/MOBILE/1-2 Nights/,CUSTOMER_ID/Domestic/MOBILE/3-4 Nights/,CUSTOMER_ID/Domestic/MOBILE/5-6 Nights/,CUSTOMER_ID/Domestic/MOBILE/7+ Nights/,CUSTOMER_ID/Long Haul/DESKTOP/1-2 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/3-4 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/5-6 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/7+ Nights/,CUSTOMER_ID/Long Haul/MOBILE/1-2 Nights/,CUSTOMER_ID/Long Haul/MOBILE/3-4 Nights/,CUSTOMER_ID/Long Haul/MOBILE/5-6 Nights/,CUSTOMER_ID/Long Haul/MOBILE/7+ Nights/,CUSTOMER_ID/Short Haul/DESKTOP/1-2 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/3-4 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/5-6 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/7+ Nights/,CUSTOMER_ID/Short Haul/MOBILE/1-2 Nights/,CUSTOMER_ID/Short Haul/MOBILE/3-4 Nights/,CUSTOMER_ID/Short Haul/MOBILE/5-6 Nights/,CUSTOMER_ID/Short Haul/MOBILE/7+ Nights/
0,2018-09-04,569.1836,1228,10452.7843,0.4922,1.4406,1.9236,2.1848,0.4969,0.9032,1.4853,2.2029,0.7032,2.0391,2.4637,1.177,0.6336,1.5049,2.5487,3.2053,0.8001,1.4194,1.9285,3.3927,0.5413,1.3263,1.007,2.5218,0.1116,0.0228,0.0065,0.0073,0.145,0.0285,0.0057,0.0081,0.1221,0.0774,0.0147,0.0073,0.0293,0.0171,0.0024,0.0049,0.1474,0.0774,0.0147,0.0098,0.092,0.0358,0.0081,0.0041
1,2018-09-05,578.5431,1169,9272.1131,0.5732,1.1698,1.5185,2.8058,0.3698,1.1248,0.3182,1.3527,0.7355,1.5178,1.4481,2.9705,0.6443,1.2355,2.4442,6.7714,0.5633,1.7103,2.425,2.0101,0.6484,1.4385,1.4185,9.0221,0.0855,0.0205,0.0103,0.0026,0.136,0.0376,0.0017,0.0103,0.118,0.0787,0.0171,0.0128,0.0419,0.0154,0.0051,0.0051,0.1155,0.0855,0.0205,0.012,0.1326,0.0325,0.0009,0.0017
2,2018-09-06,595.4815,1345,8883.1179,0.5386,1.0488,1.7896,2.5911,0.3994,0.8947,1.0839,2.7559,0.7305,1.6221,2.0481,2.2286,0.5497,1.3081,2.7546,2.0203,0.712,1.6988,3.0696,3.0409,0.5209,1.1105,1.8511,2.9616,0.0833,0.0275,0.0052,0.003,0.1086,0.026,0.0097,0.0052,0.1494,0.0952,0.0164,0.0126,0.0216,0.0171,0.0045,0.003,0.1651,0.0818,0.0126,0.0082,0.0967,0.0349,0.0059,0.0067
3,2018-09-07,579.2841,1420,8948.0448,0.5804,0.7932,1.1125,3.7431,0.3392,1.0516,1.2877,1.2561,0.6347,1.6357,1.6696,2.5714,0.5931,1.0796,2.8498,2.6021,0.6763,2.0044,2.5991,2.6504,0.5153,1.3041,2.2978,3.9127,0.1049,0.0204,0.0021,0.0056,0.0979,0.0261,0.007,0.0049,0.1331,0.0852,0.0148,0.0176,0.0401,0.0127,0.0063,0.0063,0.1831,0.0789,0.0141,0.0134,0.088,0.031,0.0042,0.0021
4,2018-09-08,596.2268,1470,8711.0281,0.5361,1.2738,2.0506,2.3212,0.4298,0.9121,0.9683,1.1859,0.6846,1.5714,1.7073,3.5985,0.4798,1.3425,2.0406,1.3001,0.6557,1.5958,1.2953,4.8666,0.5691,1.8075,1.3921,0.8975,0.0891,0.0259,0.0088,0.0041,0.1136,0.0286,0.0048,0.0027,0.1211,0.0796,0.017,0.0177,0.0381,0.0163,0.0048,0.0048,0.166,0.0844,0.0211,0.0129,0.1027,0.0279,0.0048,0.0034
5,2018-09-09,587.7837,1472,8857.6146,0.489,0.8575,2.0289,2.7569,0.4505,0.8723,2.1943,1.95,0.6788,1.5485,2.251,3.1885,0.488,1.4066,2.8952,0.9497,0.6797,1.8486,2.1709,3.6835,0.5673,1.477,2.3802,1.5611,0.1107,0.0292,0.0054,0.0041,0.1264,0.0292,0.0082,0.0054,0.1202,0.0849,0.0204,0.0109,0.0265,0.019,0.0034,0.002,0.1481,0.0815,0.0156,0.0088,0.0985,0.0299,0.0082,0.0034
6,2018-09-10,517.3712,1371,8639.0289,0.6541,1.154,2.1055,2.1782,0.5442,0.889,1.3655,1.4196,0.6463,1.6588,1.8716,3.0611,0.7507,2.2541,1.1583,4.5355,0.8368,1.4264,2.5072,3.5347,0.5559,1.2259,1.5248,1.9175,0.1152,0.0197,0.0058,0.0022,0.1364,0.0314,0.0088,0.0015,0.1094,0.0729,0.0146,0.0117,0.035,0.0131,0.0058,0.0044,0.1743,0.0649,0.019,0.0102,0.1072,0.0263,0.0051,0.0051
7,2018-09-11,537.1433,1279,9216.371,0.565,1.2698,1.0965,2.6022,0.4416,1.0053,1.2755,4.128,0.5787,1.7883,2.6856,4.0349,0.6577,1.5498,1.3897,1.46,0.8945,1.436,1.8969,3.1878,0.6814,1.1987,1.3881,2.7578,0.1063,0.0313,0.0086,0.0078,0.1235,0.0227,0.0039,0.0039,0.1126,0.068,0.0149,0.0094,0.0281,0.0156,0.0055,0.0047,0.1783,0.0672,0.0172,0.0078,0.1212,0.0352,0.0039,0.0023
8,2018-09-12,527.2434,1123,8409.6033,0.5743,1.4482,1.7355,2.4211,0.3806,0.8934,1.5618,2.1273,0.72,1.7866,1.8285,3.0498,0.7477,1.8736,1.9464,2.12,0.6739,1.5394,1.7526,3.035,0.7348,1.6419,3.3971,1.5082,0.0962,0.016,0.008,0.0062,0.1487,0.0329,0.0071,0.0009,0.1131,0.073,0.0223,0.0125,0.0383,0.0223,0.0036,0.0027,0.1443,0.0659,0.0178,0.0053,0.1167,0.0365,0.0071,0.0027
9,2018-09-13,548.4364,1440,8785.1353,0.6106,1.4269,1.6335,1.582,0.3942,0.7398,0.9759,1.8421,0.7186,1.9056,2.151,3.0278,0.6763,1.6631,1.5357,5.4071,0.7708,1.6506,1.7287,3.2933,0.5736,1.0903,1.1382,1.7766,0.0736,0.0236,0.0042,0.0028,0.1181,0.0208,0.0035,0.0021,0.1312,0.0674,0.0153,0.0146,0.0347,0.025,0.0049,0.0035,0.1868,0.0861,0.0111,0.0083,0.1243,0.0236,0.009,0.0056
